ktype,filiere,region,sau,umo,ugb,nb_vl,surface_sfp,surface_herbe_pp,surface_herbe_pt,surface_culture
"Vêl. hiver, Jeunes bovins 16-18 mois",Bovins viande,0,140.0,0.0,150.3,0.0,113.0,53.5,53.5,27.0
"Vêl. hiver, Jeunes bovins, fem. finies",Bovins viande,0,250.0,0.0,237.6,0.0,199.0,187.5,0.0,51.0
"Vêl. aut, Très jeunes bovins-fem. finies",Bovins viande,0,125.0,0.0,137.3,0.0,106.0,35.0,71.0,19.0
"Vêl. automne, jeunes bovins-fem. finies",Bovins viande,0,140.0,0.0,143.7,0.0,126.0,93.0,27.0,14.0
Naisseur Engraisseur,Bovins viande,0,60.0,0.0,119.1,0.0,60.0,49.0,11.0,0.0
"Veaux sous la mère, femelles finies",Bovins viande,0,85.0,0.0,84.0,0.0,74.0,40.5,30.5,11.0
Race Limousine sous Labels,Bovins viande,0,67.0,0.0,68.9,0.0,62.0,37.0,25.0,5.0
"Vêl. étalés, Veaux de lait sous la mère",Bovins viande,0,65.0,0.0,86.8,0.0,55.0,30.0,20.0,10.0
"Vêl. étalés, Veaux lourds 7-9 mois",Bovins viande,0,56.0,0.0,79.4,0.0,48.0,20.0,28.0,8.0
"Vêl. étalés, veaux ss la mère limousins",Bovins viande,0,105.0,0.0,96.5,0.0,99.0,75.5,23.5,6.0
"Boeufs, femelles finies",Bovins viande,0,100.0,0.0,112.7,0.0,92.0,36.0,56.0,8.0
Charolaise - Boeufs et femelles finies,Bovins viande,0,160.0,0.0,161.0,0.0,148.0,136.0,12.0,12.0
"Race blonde d'Aquitaine, vêlages d'hiver",Bovins viande,0,160.0,0.0,134.3,0.0,57.13,45.0,0.0,102.87
"Vêl. automne-hiver, jeunes bovins finis",Bovins viande,0,280.0,0.0,132.0,0.0,91.0,75.0,6.5,189.0
"Vêl. automne, Jeunes bovins lourds ",Bovins viande,0,280.0,0.0,251.2,0.0,178.0,134.0,34.0,102.0
"Deux périodes, Jeunes bovins-fem. finies",Bovins viande,0,125.0,0.0,144.9,0.0,78.0,50.0,28.0,47.0
"Vêl. étalés, Veaux lourds 7-9 mois",Bovins viande,0,130.0,0.0,88.0,0.0,72.0,22.0,40.0,58.0
"Race charolaise, 200 places",Grandes cultures,0,200.0,0.0,141.0,0.0,21.26,0.0,0.0,178.74
"Race charolaise, 200 places",Grandes cultures,0,200.0,0.0,141.0,0.0,0.0,0.0,0.0,200.0
Jeunes bovins finis - finition au maïs,Grandes cultures,0,88.0,0.0,109.2,0.0,21.0,0.0,0.0,67.0
Engraisseur avec diversification canne,Autre,0,10.0,0.0,17.6,0.0,3.0,0.0,3.0,0.0
19% du lait transformé en fromages ,Caprins,0,51.0,0.0,86.3,0.0,27.0,0.0,27.0,24.0
"Désaisonnement, enrubannage",Caprins,0,65.0,0.0,52.4,0.0,36.0,0.0,36.0,29.0
"MB saison, affouragement en vert",Caprins,0,61.0,0.0,71.8,0.0,40.0,0.0,40.0,21.0
"MB de saison, 33% LL, ensilage de maïs",Caprins,0,86.0,0.0,123.2,0.0,61.0,0.0,37.0,25.0
"MB saison, pâturage et foin",Caprins,0,48.0,0.0,45.2,0.0,35.0,5.0,30.0,13.0
"MB saison, pâturage et affouragement",Caprins,0,48.0,0.0,45.2,0.0,37.0,5.0,32.0,11.0
"MB saison, maxi pâturage",Caprins,0,48.0,0.0,45.2,0.0,37.0,5.0,32.0,11.0
Un systéme simple mais technique ,Caprins,0,79.0,0.0,60.0,0.0,67.0,43.0,24.0,12.0
"Mises bas en saison, enrubannage et foin",Caprins,0,73.0,0.0,59.2,0.0,65.0,48.0,17.0,8.0
Mises bas désaisonnées,Caprins,0,12.0,0.0,25.1,0.0,12.0,12.0,0.0,0.0
"MB désaisonnées, enrubannage",Caprins,0,45.0,0.0,62.6,0.0,39.0,10.0,29.0,6.0
"MB saison, 25% LL, ensilage de maïs",Bovins viande,0,139.0,0.0,200.3,0.0,124.0,30.0,76.0,15.0
"Désaisonnement, LL, ensilage de maïs ",Bovins viande,0,55.0,0.0,73.6,0.0,48.17,8.0,33.17,6.83
"2 périodes de mises bas, foin de luzerne",Caprins,0,130.0,0.0,52.4,0.0,33.0,0.0,33.0,97.0
"Désaisonnement, 30% LL, foin de luzerne",Caprins,0,200.0,0.0,82.2,0.0,51.0,16.0,35.0,149.0
"MB saison, pâturage, enrubannage et foin",Bovins viande,0,190.0,0.0,120.3,0.0,97.0,33.0,64.0,93.0
"MB saison, affouragement en vert",Caprins,0,30.0,0.0,22.9,0.0,15.0,0.0,15.0,15.0
"MB saison, pâturage",Caprins,0,30.0,0.0,16.5,0.0,12.0,4.0,8.0,18.0
"Deux périodes de MB, foin de luzerne",Caprins,0,45.0,0.0,43.5,0.0,29.0,0.0,29.0,16.0
"MB saison, monotraite, pâturage, méteil",Caprins,0,23.0,0.0,14.2,0.0,17.0,5.0,12.0,6.0
65% du lait transformé en fromages ,Caprins,0,63.0,0.0,45.9,0.0,28.5,14.0,14.5,34.5
"MB saison, pâturage",Caprins,0,7.0,0.0,10.2,0.0,7.0,7.0,0.0,0.0
Une gamme lactique en circuits courts,Caprins,0,25.0,0.0,20.7,0.0,21.0,13.0,8.0,4.0
Une gamme bien valorisée,Caprins,0,12.0,0.0,10.4,0.0,12.0,12.0,0.0,0.0
Réussir sa commercialisation,Caprins,0,60.0,0.0,42.0,0.0,48.0,20.0,28.0,12.0
Pastoral assurant par le distribué,Caprins,0,5.0,0.0,9.9,0.0,5.0,5.0,0.0,0.0
Pastoral misant sur les parcours,Caprins,0,5.0,0.0,19.5,0.0,5.0,0.0,5.0,0.0
Tendre vers l'autonomie fourragère,Caprins,0,22.0,0.0,10.9,0.0,22.0,12.0,8.0,0.0
Rentabiliser les charges alimentaires,Caprins,0,0.0,0.0,8.2,0.0,0.0,0.0,0.0,0.0
Pastoral misant sur le distribué,Caprins,0,4.5,0.0,14.4,0.0,4.5,4.5,0.0,0.0
Mises bas saison,Caprins,0,15.0,0.0,11.0,0.0,15.0,15.0,0.0,0.0
"Début de traite au 15/12, foin ventilé",Ovins lait,0,70.0,0.0,67.2,0.0,58.0,18.0,40.0,12.0
"Début de traite au 20/11, ensilage",Ovins lait,0,55.0,0.0,63.0,0.0,41.0,8.0,28.0,14.0
"Début de traite au 20/02, foin",Ovins lait,0,103.0,0.0,78.4,0.0,79.0,12.0,61.0,24.0
"Début de traite au 15/01, enrubannage",Bovins viande,0,100.0,0.0,105.3,0.0,76.0,26.0,50.0,24.0
"Début de traite au 15/02, ensilage herbe",Ovins lait,0,174.0,0.0,118.3,0.0,136.0,11.0,125.0,38.0
"Début de traite au 01/09, ensilage herbe",Ovins lait,0,63.0,0.0,75.7,0.0,55.0,20.0,32.0,8.0
"Début de traite au 05/03, ensilage herbe",Ovins lait,0,89.0,0.0,87.0,0.0,75.0,20.0,55.0,14.0
"Début de traite au 01/12, enrubannage",Ovins lait,0,100.0,0.0,84.1,0.0,70.0,20.0,50.0,30.0
"Petite structure mixte OL – BV, montagne",Bovins viande,0,25.0,0.0,53.4,0.0,25.0,25.0,0.0,0.0
"Structure moyenne mixte, piémont",Bovins viande,0,40.0,0.0,79.3,0.0,37.5,22.0,14.0,2.5
"Structure moyenne mixte, coteaux",Bovins viande,0,45.0,0.0,81.3,0.0,41.0,13.5,26.0,4.0
"Structure moyenne spécialisée, montagne",Bovins viande,0,40.0,0.0,70.3,0.0,38.0,29.0,7.5,2.0
Deux périodes d'agn. Agneaux Bergerie,Ovins viande,0,65.0,0.0,77.0,0.0,52.0,0.0,45.5,13.0
Deux périodes d'agn. Agneaux Bergerie,Ovins viande,0,60.0,0.0,84.8,0.0,47.0,0.0,47.0,13.0
3 mises bas en 2 ans,Ovins viande,0,48.0,0.0,56.4,0.0,40.0,10.0,30.0,8.0
300 brebis - Agneaux fini en bergerie,Ovins viande,0,40.0,0.0,42.4,0.0,40.0,40.0,0.0,0.0
Deux périodes d'agn. Bergerie et herbe,Bovins viande,0,80.0,0.0,77.1,0.0,68.0,15.0,53.0,12.0
Deux périodes d'agn. Bergerie et herbe,Bovins viande,0,80.0,0.0,84.8,0.0,69.0,10.0,59.0,11.0
Un agn. au printemps Herbe dominants,Bovins lait,0,130.0,0.0,108.8,0.0,130.0,30.0,100.0,0.0
Un agn. au printemps Herbe dominants,Bovins lait,0,70.0,0.0,76.2,0.0,70.0,0.0,70.0,0.0
Un agn. au printemps Herbe dominants,Bovins lait,0,70.0,0.0,64.8,0.0,70.0,6.0,64.0,0.0
Un agn. au printemps Herbe dominants,Bovins lait,0,150.0,0.0,155.3,0.0,150.0,57.0,93.0,0.0
Deux périodes d'agn. Bergerie et herbe,Bovins viande,0,80.0,0.0,77.3,0.0,74.0,26.0,48.0,6.0
Deux périodes d'agn. Bergerie et herbe,Bovins viande,0,130.0,0.0,123.8,0.0,120.0,60.0,60.0,10.0
Deux périodes d'agn. Bergerie et herbe,Bovins viande,0,130.0,0.0,123.8,0.0,114.0,50.0,64.0,16.0
Un agn. au printemps Herbe dominants,Bovins lait,0,75.0,0.0,87.1,0.0,75.0,75.0,0.0,0.0
Deux périodes d'agn. Bergerie et herbe,Bovins viande,0,170.0,0.0,159.7,0.0,150.0,150.0,0.0,20.0
Un agn. au printemps Herbe dominants,Bovins lait,0,140.0,0.0,162.2,0.0,140.0,90.4,49.599999999999994,0.0
Deux périodes d'agn. Bergerie et herbe,Bovins viande,0,90.0,0.0,99.2,0.0,85.0,72.2,12.799999999999997,5.0
3 agn.s en 2 ans Reproducteurs ,Ovins viande,0,60.0,0.0,60.3,0.0,52.0,30.0,22.0,8.0
3 agn./2 ans non systématique Bergerie ,Ovins viande,0,65.0,0.0,69.8,0.0,60.0,45.0,15.0,5.0
Un agn. au printemps Herbe dominants,Bovins lait,0,70.0,0.0,73.4,0.0,65.0,52.6,12.399999999999999,5.0
Deux périodes d'agn. Bergerie dominants,Ovins viande,0,60.0,0.0,82.2,0.0,60.0,39.0,21.0,0.0
2 périodes de mise bas,Ovins viande,0,70.0,0.0,67.5,0.0,61.0,14.0,47.0,9.0
3 mises bas en 2 ans,Ovins viande,0,70.0,0.0,63.9,0.0,55.0,17.0,38.0,15.0
Un agn. au printemps Herbe dominants,Bovins lait,0,185.0,0.0,179.5,0.0,176.5,20.0,156.5,8.5
Deux périodes d'agn. Bergerie et herbe,Bovins viande,0,150.0,0.0,182.0,0.0,130.0,15.0,115.0,20.0
Un agn. au printemps Herbe dominants,Bovins lait,0,100.0,0.0,115.9,0.0,100.0,100.0,0.0,0.0
Un agn. au printemps Herbe dominants,Bovins lait,0,120.0,0.0,123.4,0.0,100.0,70.0,30.0,20.0
Un agn. au printemps Herbe dominants,Bovins lait,0,200.0,0.0,197.8,0.0,190.0,90.0,100.0,10.0
Alimentation sèche ,Ovins viande,0,100.0,0.0,55.8,0.0,15.5,11.0,4.5,84.5
200 brebis race bouchère - Batiment,Ovins viande,0,100.0,0.0,28.4,0.0,6.5,6.5,0.0,93.5
200 brebis - Romane - 100 Ha,Ovins viande,0,100.0,0.0,28.4,0.0,6.5,0.0,6.5,93.5
Ile de france - 1 agnelage en automne,Ovins viande,0,100.0,0.0,55.8,0.0,17.0,11.0,6.0,83.0
600 brebis IDF - 3 périodes d'agnelage,Ovins viande,0,180.0,0.0,83.8,0.0,24.0,24.0,0.0,156.0
Un agn. en automne Bergerie dominants,Ovins viande,0,120.0,0.0,61.5,0.0,20.0,5.0,15.0,100.0
Un agn. en automne Bergerie et herbe,Ovins viande,0,120.0,0.0,61.1,0.0,45.0,5.0,40.0,75.0
Un agn. en automne Bergerie dominants,Ovins viande,0,250.0,0.0,77.5,0.0,45.0,45.0,0.0,205.0
Un agn. En automne Bergerie dominants,Ovins viande,0,170.0,0.0,56.3,0.0,35.0,35.0,0.0,135.0
Bergerie dominants Achat des agnelles,Ovins viande,0,250.0,0.0,83.9,0.0,56.0,50.0,6.0,194.0
Un agn. en automne Bergerie dominants,Ovins viande,0,170.0,0.0,56.3,0.0,20.0,20.0,0.0,150.0
Deux périodes d'agn. Bergerie et herbe,Bovins viande,0,150.0,0.0,85.6,0.0,69.0,69.0,0.0,81.0
Trois périodes d'agn. Bergerie dominants,Ovins viande,0,150.0,0.0,126.4,0.0,81.0,75.0,6.0,69.0
2 périodes de mise bas ,Ovins viande,0,90.0,0.0,67.5,0.0,42.0,8.0,30.0,48.0
Un agn. Race proli. Bergerie dominants,Bovins viande,0,350.0,0.0,206.6,0.0,149.0,130.0,9.0,201.0
200 brebis - Petits Fruits,Ovins viande,0,86.25,0.0,34.2,0.0,30.0,30.0,0.0,55.0
Un agn. au printemps Herbe dominants,Bovins lait,0,120.0,0.0,129.1,41.0,104.5,95.0,0.0,15.5
Deux périodes d'agn. Bergerie dominants,Ovins viande,0,70.0,0.0,69.8,0.0,70.0,35.0,35.0,0.0
Un agn. au printemps Herbe dominants,Bovins lait,0,60.0,0.0,40.9,0.0,60.0,60.0,0.0,0.0
3 agn.s en 2 ans Bergerie dominants,Ovins viande,0,70.0,0.0,53.5,0.0,65.0,55.0,10.0,5.0
3 agn./2 ans non systématique Bergerie,Ovins viande,0,110.0,0.0,100.2,0.0,100.0,80.0,20.0,10.0
3 agn./2 ans non systématique Bergerie,Ovins viande,0,100.0,0.0,107.0,0.0,100.0,100.0,0.0,0.0
3 agn.s en 2 ans Bergerie dominants,Ovins viande,0,50.0,0.0,65.9,0.0,50.0,50.0,0.0,0.0
Deux périodes d'agn. Reproducteurs,Ovins viande,0,80.0,0.0,82.1,0.0,75.0,38.0,37.0,5.0
Bergerie dominants - auto renouvellement,Ovins viande,0,68.0,0.0,70.5,0.0,62.0,46.0,14.0,6.0
Deux périodes d'agn. Bergerie dominant,Ovins viande,0,35.0,0.0,35.9,0.0,35.0,23.0,10.0,0.0
Deux périodes d'agn. Bergerie dominants,Ovins viande,0,80.0,0.0,81.5,0.0,80.0,66.0,14.0,0.0
Bergerie dominants - auto renouvellement,Ovins viande,0,68.0,0.0,69.7,0.0,65.0,59.0,6.0,3.0
3 agn./2 ans non systématique Bergerie ,Ovins viande,0,75.0,0.0,80.1,0.0,75.0,75.0,0.0,0.0
3 mises bas en 2 ans non systématique,Ovins viande,0,100.0,0.0,99.0,0.0,80.0,0.0,80.0,20.0
2 périodes de mise bas,Ovins viande,0,55.0,0.0,45.9,0.0,49.0,9.0,33.0,6.0
Agnelage x2 - bergerie lourds + tardons,Ovins viande,0,25.0,0.0,37.5,0.0,25.0,25.0,0.0,0.0
Agnelage x2 - agneaux lourds bergerie,Ovins viande,0,32.0,0.0,54.0,0.0,25.0,11.0,14.0,7.0
Agnelage x2 - agneaux lourds bergerie,Ovins viande,0,37.0,0.0,67.5,0.0,26.0,6.0,20.0,11.0
Agnelage x2 - agneaux lourds + tardons,Ovins viande,0,37.0,0.0,67.5,0.0,33.0,5.0,28.0,4.0
Agnelage x2 - agneaux maigres dominants,Ovins viande,0,12.0,0.0,120.0,0.0,12.0,12.0,0.0,0.0
Agnelage x2 - agnx maigres ou semi-finis,Ovins viande,0,10.0,0.0,75.0,0.0,10.0,10.0,0.0,0.0
Agnelage x2 - agneaux semi-finis,Ovins viande,0,40.0,0.0,184.7,0.0,15.0,15.0,0.0,25.0
Agnelage x1 - agneaux lourds bergerie,Ovins viande,0,52.0,0.0,69.0,0.0,41.0,6.0,35.0,11.0
Agnelage x1 - tardons semi-finis,Ovins viande,0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
Agnelage x2 - agneaux lourds bergerie,Ovins viande,0,40.0,0.0,48.0,0.0,26.0,9.0,17.0,11.0
Agnelage principal en hiver,Ovins viande,0,70.0,0.0,90.0,0.0,54.0,6.0,48.0,16.0
1 période de mise bas,Ovins viande,0,10.0,0.0,27.0,0.0,10.0,10.0,0.0,0.0
Un agn. en hiver Bergerie dominants,Bovins viande,0,160.0,0.0,152.6,0.0,154.0,99.0,55.0,6.0
"3 agn.s en 2 ans Bergerie lourds, lég.",Bovins lait,0,140.0,0.0,123.0,56.3,121.0,79.0,30.0,19.0
